# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
LOC17880026	gene-LOC17880026	XM_023779070.1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17880333	gene-LOC17880333	XM_006282372.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC17880333	gene-LOC17880333	XM_023778637.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC17880573	gene-LOC17880573	XM_006283027.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17880573	gene-LOC17880573	XM_023779778.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17880573	gene-LOC17880573	XM_023779779.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17880705	gene-LOC17880705	XM_023778628.1	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
LOC17881043	gene-LOC17881043	XM_006282475.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17881043	gene-LOC17881043	XM_023778380.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17881291	gene-LOC17881291	XM_006286925.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17881291	gene-LOC17881291	XM_023780018.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17881291	gene-LOC17881291	XM_023780019.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17881660	gene-LOC17881660	XM_023781871.1	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17881660	gene-LOC17881660	XM_023781872.1	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17881660	gene-LOC17881660	XM_023781873.1	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17881923	gene-LOC17881923	XM_006289245.1	protein_coding	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
LOC17882262	gene-LOC17882262	XM_023781907.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC17882262	gene-LOC17882262	XM_023781908.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC17882262	gene-LOC17882262	XM_023781909.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC17882262	gene-LOC17882262	XM_023781910.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC17882262	gene-LOC17882262	XM_023781911.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC17882567	gene-LOC17882567	XM_006287088.2	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
LOC17882993	gene-LOC17882993	XM_023779989.1	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
LOC17882993	gene-LOC17882993	XM_023779990.1	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
LOC17883171	gene-LOC17883171	XM_006288646.2	protein_coding	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17883375	gene-LOC17883375	XM_006288998.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17883558	gene-LOC17883558	XM_006289097.2	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
LOC17883600	gene-LOC17883600	XM_006286964.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC17883810	gene-LOC17883810	XM_006289592.2	protein_coding	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17884173	gene-LOC17884173	XM_006286322.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17884173	gene-LOC17884173	XM_023780492.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
LOC17884303	gene-LOC17884303	XM_006288071.2	protein_coding	0	0	0	11	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17884313	gene-LOC17884313	XM_023780116.1	protein_coding	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
LOC17884313	gene-LOC17884313	XM_023780117.1	protein_coding	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
LOC17884313	gene-LOC17884313	XM_023780118.1	protein_coding	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
LOC17884313	gene-LOC17884313	XM_023780119.1	protein_coding	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
LOC17884313	gene-LOC17884313	XM_023780120.1	protein_coding	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
LOC17884391	gene-LOC17884391	XM_006287956.2	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
LOC17884633	gene-LOC17884633	XM_006289894.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC17884869	gene-LOC17884869	XM_006290747.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17885205	gene-LOC17885205	XM_006292222.1	protein_coding	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17885289	gene-LOC17885289	XM_006293062.1	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
LOC17885706	gene-LOC17885706	XM_006291868.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC17885785	gene-LOC17885785	XM_023783228.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
LOC17886052	gene-LOC17886052	XM_006290797.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC17886052	gene-LOC17886052	XM_023782984.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC17886052	gene-LOC17886052	XM_023782985.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC17886052	gene-LOC17886052	XM_023782986.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC17886084	gene-LOC17886084	XM_006292167.2	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
LOC17886384	gene-LOC17886384	XM_006292968.1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17886463	gene-LOC17886463	XM_006292162.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC17886586	gene-LOC17886586	XM_006292976.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC17886622	gene-LOC17886622	XM_006291414.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC17886677	gene-LOC17886677	XM_006293151.2	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
LOC17887191	gene-LOC17887191	XM_006290472.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17887191	gene-LOC17887191	XM_006290473.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17887191	gene-LOC17887191	XM_023782274.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17887191	gene-LOC17887191	XM_023782275.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17887261	gene-LOC17887261	XM_006293200.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
LOC17888252	gene-LOC17888252	XM_006295935.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
LOC17888780	gene-LOC17888780	XM_006296019.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC17888811	gene-LOC17888811	XM_006294263.2	protein_coding	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17889015	gene-LOC17889015	XM_006295455.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17889015	gene-LOC17889015	XM_023784975.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17889059	gene-LOC17889059	XM_023785047.1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
LOC17889059	gene-LOC17889059	XM_023785048.1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
LOC17889109	gene-LOC17889109	XM_006293436.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17889222	gene-LOC17889222	XM_006294604.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC17890333	gene-LOC17890333	XM_006296011.2	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
LOC17890459	gene-LOC17890459	XM_023784852.1	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
LOC17890610	gene-LOC17890610	XM_006298315.2	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
LOC17890610	gene-LOC17890610	XM_023786299.1	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
LOC17890610	gene-LOC17890610	XM_023786300.1	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
LOC17890611	gene-LOC17890611	XM_006297690.2	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
LOC17891051	gene-LOC17891051	XM_006298448.2	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
LOC17891342	gene-LOC17891342	XM_023785455.1	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
LOC17891495	gene-LOC17891495	XM_006296749.2	protein_coding	0	0	0	9	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC17891608	gene-LOC17891608	XM_023786264.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17891628	gene-LOC17891628	XM_006297900.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17891736	gene-LOC17891736	XM_006298781.2	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
LOC17891736	gene-LOC17891736	XM_023786347.1	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
LOC17891736	gene-LOC17891736	XM_023786348.1	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
LOC17891763	gene-LOC17891763	XM_006299161.2	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17891825	gene-LOC17891825	XM_006297878.2	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
LOC17891943	gene-LOC17891943	XM_023786872.1	protein_coding	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17892104	gene-LOC17892104	XM_023785854.1	protein_coding	0	0	0	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17892104	gene-LOC17892104	XM_023785855.1	protein_coding	0	0	0	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17892319	gene-LOC17892319	XM_006297725.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC17893236	gene-LOC17893236	XM_023785457.1	protein_coding	0	0	0	9	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC17893366	gene-LOC17893366	XM_006297528.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17893563	gene-LOC17893563	XM_006297549.2	protein_coding	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17893952	gene-LOC17893952	XM_006299257.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC17894014	LOC17894014	gene-LOC17894014	pseudogene	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
LOC17895907	gene-LOC17895907	XM_006302807.2	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17896655	gene-LOC17896655	XM_006303233.2	protein_coding	0	0	0	351	0	0	0	0	0	0	0	130	0	0	0	0	23	0	0	0	0	0	0	0	0	0	198
LOC17896656	gene-LOC17896656	XM_023790014.1	protein_coding	0	0	0	180	0	0	0	0	0	0	0	79	0	0	0	0	13	0	0	0	0	0	0	0	0	0	88
LOC17896659	gene-LOC17896659	XM_006303146.2	protein_coding	0	0	0	284	0	0	0	0	0	0	0	78	0	0	0	0	46	0	0	0	0	0	0	0	0	0	160
LOC17896661	gene-LOC17896661	XM_006304312.2	protein_coding	0	0	0	223	0	0	0	0	0	0	0	94	0	0	0	0	19	0	0	0	0	0	0	0	0	0	110
LOC17896673	gene-LOC17896673	XM_006305894.2	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
LOC17896679	gene-LOC17896679	XM_023789274.1	protein_coding	0	0	0	184	0	0	0	0	0	0	0	71	0	0	0	0	40	0	0	0	0	0	0	0	0	0	73
LOC17896693	gene-LOC17896693	XM_006305994.2	protein_coding	0	0	0	214	0	0	0	0	0	0	0	101	0	0	0	0	11	0	0	0	0	0	0	0	0	0	102
LOC17896716	gene-LOC17896716	XM_006305898.2	protein_coding	0	0	0	380	0	0	0	0	0	0	0	125	0	0	0	0	120	0	0	0	0	0	0	0	0	0	135
LOC17896720	gene-LOC17896720	XM_006304620.2	protein_coding	0	0	0	258	0	0	0	0	0	0	0	134	0	0	0	0	12	0	0	0	0	0	0	0	0	0	112
LOC17896721	gene-LOC17896721	XM_006304316.2	protein_coding	0	0	0	388	0	0	0	0	0	0	0	169	0	0	0	0	69	0	0	0	0	0	0	0	0	0	150
LOC17896721	gene-LOC17896721	XM_023776784.1	protein_coding	0	0	0	388	0	0	0	0	0	0	0	169	0	0	0	0	69	0	0	0	0	0	0	0	0	0	150
